Team1, Team2, Score1, Score2, WinningTeam
Chicago White Sox, Los Angeles Angels, 3, 4, 2
Pittsburgh Pirates, Chicago Cubs, 5, 3, 1
St. Louis Cardinals, Cincinnati Reds, 11, 6, 1
Los Angeles Dodgers, Colorado Rockies, 5, 8, 2
Cleveland Indians, Detroit Tigers, 2, 3, 2
Texas Rangers, Kansas City Royals, 10, 14, 2
Tampa Bay Rays, Miami Marlins, 1, 0, 1
Minnesota Twins, Milwaukee Brewers, 5, 6, 2
Toronto Blue Jays, New York Yankees, 3, 2, 1
Houston Astros, Oakland Athletics, 8, 1, 1
Atlanta Braves, Philadelphia Phillies, 2, 3, 2
Arizona D'Backs, San Diego Padres, 7, 8, 2
San Francisco Giants, Seattle Mariners, 7, 8, 2
Chicago White Sox, Los Angeles Angels, 12, 8, 1
Baltimore Orioles, Boston Red Sox, 3, 0, 1
Los Angeles Dodgers, Colorado Rockies, 11, 6, 1
Tampa Bay Rays, Miami Marlins, 6, 4, 1
Houston Astros, Oakland Athletics, 9, 5, 1
Arizona D'Backs, San Diego Padres, 2, 4, 2
San Francisco Giants, Seattle Mariners, 6, 3, 1
Chicago White Sox, Los Angeles Angels, 3, 5, 2
Baltimore Orioles, Boston Red Sox, 4, 2, 1
Pittsburgh Pirates, Chicago Cubs, 1, 5, 2
St. Louis Cardinals, Cincinnati Reds, 6, 9, 2
Los Angeles Dodgers, Colorado Rockies, 6, 5, 1
Cleveland Indians, Detroit Tigers, 2, 5, 2
Texas Rangers, Kansas City Royals, 4, 11, 2
Tampa Bay Rays, Miami Marlins, 7, 12, 2
Minnesota Twins, Milwaukee Brewers, 2, 0, 1
Toronto Blue Jays, New York Yankees, 3, 5, 2
Houston Astros, Oakland Athletics, 9, 1, 1
Atlanta Braves, Philadelphia Phillies, 0, 4, 2
Arizona D'Backs, San Diego Padres, 0, 7, 2
San Francisco Giants, Seattle Mariners, 0, 4, 2
Chicago White Sox, Los Angeles Angels, 4, 7, 2
Baltimore Orioles, Boston Red Sox, 11, 3, 1
Pittsburgh Pirates, Chicago Cubs, 3, 4, 2
St. Louis Cardinals, Cincinnati Reds, 1, 12, 2
